step,timestamp,asset,timeframe,split,episode_id,run_id,seed,bar_index,price,action_raw,position,reward,gross_return,net_return,equity,pnl,commission_paid,slippage_paid,trade_cost,trades
12,2018-01-21 00:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,12,1117.12,0.07207322120666504,1.0,-0.0035630000000001017,-0.003510431291411219,-0.003510431291411219,10114.119999999999,-35.63000000000102,0.0,,0.0,0
13,2018-01-21 04:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,13,1053.4,0.12086987495422363,1.0,-0.006371999999999934,-0.006300103222030127,-0.006300103222030127,10050.4,-63.719999999999345,0.0,,0.0,0
14,2018-01-21 08:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,14,1110.0,0.17167973518371582,1.0,0.0056600000000000365,0.005631616652073586,0.005631616652073586,10107.0,56.600000000000364,0.0,,0.0,0
15,2018-01-21 12:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,15,1045.87,0.08323931694030762,1.0,-0.006413000000000102,-0.006345107351340756,-0.006345107351340756,10042.869999999999,-64.13000000000102,0.0,,0.0,0
16,2018-01-21 16:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,16,1036.86,0.08397912979125977,1.0,-0.00090099999999984,-0.0008971539012252872,-0.0008971539012252872,10033.86,-9.0099999999984,0.0,,0.0,0
17,2018-01-21 20:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,17,1049.0,0.06516146659851074,1.0,0.0012139999999999417,0.0012099032675360645,0.0012099032675360645,10046.0,12.139999999999418,0.0,,0.0,0
18,2018-01-22 00:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,18,1050.0,0.125335693359375,1.0,0.0001,9.954210631096954e-05,9.954210631096954e-05,10047.0,1.0,0.0,,0.0,0
19,2018-01-22 04:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,19,1073.88,0.06622958183288574,1.0,0.002388000000000102,0.002376828904150594,0.002376828904150594,10070.880000000001,23.88000000000102,0.0,,0.0,0
20,2018-01-22 08:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,20,1036.89,0.09636914730072021,1.0,-0.00369900000000016,-0.003672966016872567,-0.003672966016872567,10033.89,-36.9900000000016,0.0,,0.0,0
21,2018-01-22 12:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,21,951.0,0.12965655326843262,1.0,-0.008588999999999942,-0.008559990193235069,-0.008559990193235069,9948.0,-85.88999999999942,0.0,,0.0,0
22,2018-01-22 16:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,22,975.28,0.10134053230285645,1.0,0.0024280000000000655,0.00244069159630083,0.00244069159630083,9972.28,24.280000000000655,0.0,,0.0,0
23,2018-01-22 20:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,23,993.0,0.000563502311706543,1.0,0.0017719999999999344,0.0017769256378681049,0.0017769256378681049,9990.0,17.719999999999345,0.0,,0.0,0
24,2018-01-23 00:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,24,998.44,-0.0556107759475708,1.0,0.000544000000000051,0.0005445445445445955,0.0005445445445445955,9995.44,5.440000000000509,0.0,,0.0,0
25,2018-01-23 04:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,25,946.66,-0.05144590139389038,-1.0,0.005178000000000065,0.005180362245183869,0.005180362245183869,10047.220000000001,51.780000000000655,0.0,,0.0,1
26,2018-01-23 08:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,26,932.5,-0.029504239559173584,-1.0,0.0014159999999999854,0.0014093450725673224,0.0014093450725673224,10061.380000000001,14.159999999999854,0.0,,0.0,1
27,2018-01-23 12:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,27,987.5,-0.02839040756225586,-1.0,-0.0055,-0.005466446948629313,-0.005466446948629313,10006.380000000001,-55.0,0.0,,0.0,1
28,2018-01-23 16:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,28,980.44,-0.03313940763473511,-1.0,0.0007059999999999491,0.0007055498591897859,0.0007055498591897859,10013.44,7.059999999999491,0.0,,0.0,1
29,2018-01-23 20:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,29,980.0,0.014790177345275879,-1.0,4.400000000005093e-05,4.394094337215875e-05,4.394094337215875e-05,10013.880000000001,0.4400000000005093,0.0,,0.0,1
30,2018-01-24 00:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,30,984.42,0.033666133880615234,1.0,0.00020199999999986177,0.00020172001262234193,0.00020172001262234193,10015.9,2.0199999999986176,0.0,,0.0,2
31,2018-01-24 04:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,31,1000.01,0.0866931676864624,1.0,0.0015590000000000146,0.0015565251250511832,0.0015565251250511832,10031.49,15.590000000000146,0.0,,0.0,2
32,2018-01-24 08:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,32,1015.0,0.06112480163574219,1.0,0.0014989999999999782,0.0014942944667242636,0.0014942944667242636,10046.48,14.989999999999782,0.0,,0.0,2
33,2018-01-24 12:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,33,1016.01,0.0496596097946167,1.0,0.00010100000000002182,0.00010053272389933771,0.00010053272389933771,10047.49,1.0100000000002183,0.0,,0.0,2
34,2018-01-24 16:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,34,1035.95,0.0625988245010376,1.0,0.001994000000000051,0.0019845752521276965,0.0019845752521276965,10067.43,19.94000000000051,0.0,,0.0,2
35,2018-01-24 20:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,35,1061.0,-0.02859354019165039,1.0,0.0025049999999999274,0.0024882219195960908,0.0024882219195960908,10092.48,25.049999999999272,0.0,,0.0,2
36,2018-01-25 00:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,36,1108.51,0.047040581703186035,-1.0,-0.004882999999999992,-0.004838255810266647,-0.004838255810266647,10043.65,-48.82999999999993,0.0,,0.0,3
37,2018-01-25 04:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,37,1079.6,-0.042182743549346924,1.0,-0.002988999999999942,-0.0029760097175826933,-0.0029760097175826933,10013.76,-29.889999999999418,0.0,,0.0,4
38,2018-01-25 08:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,38,1058.0,0.013245820999145508,-1.0,0.002157999999999993,0.0021550346722909205,0.0021550346722909205,10035.34,21.579999999999927,0.0,,0.0,5
39,2018-01-25 12:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,39,1037.71,0.028092622756958008,1.0,-0.0023270000000000434,-0.0023188053419216925,-0.0023188053419216925,10012.07,-23.270000000000437,0.0,,0.0,6
40,2018-01-25 16:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,40,1065.0,0.07527339458465576,1.0,0.0027290000000000873,0.002725710067948074,0.002725710067948074,10039.36,27.290000000000873,0.0,,0.0,6
41,2018-01-25 20:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,41,1056.52,0.05805063247680664,1.0,-0.0008479999999999563,-0.0008446753577916882,-0.0008446753577916882,10030.880000000001,-8.479999999999563,0.0,,0.0,6
42,2018-01-26 00:00:00,unknown_asset,,train_tail_epoch,asset_seed0::train_tail_epoch,asset_seed0,0,42,1072.8,0.024694085121154785,1.0,0.0016279999999998837,0.0016229882123999922,0.0016229882123999922,10047.16,16.279999999998836,0.0,,0.0,6
