step,timestamp,asset,timeframe,split,episode_id,run_id,seed,bar_index,price,action_raw,position,reward,gross_return,net_return,equity,pnl,commission_paid,slippage_paid,trade_cost,trades,closed_trades_cumulative,terminal_settlement_event
17,2018-01-21 20:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,17,1049.0,-0.03589075803756714,-1.0,-0.0012139999999999417,-0.0011927335606141908,-0.0011927335606141908,10166.16,-12.139999999999418,0.0,,0.0,1,1,
18,2018-01-22 00:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,18,1050.0,-0.02661263942718506,-1.0,-0.0001,-9.836555789009813e-05,-9.836555789009813e-05,10165.16,-1.0,0.0,,0.0,1,1,
19,2018-01-22 04:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,19,1073.88,0.0013946294784545898,-1.0,-0.002388000000000102,-0.002349200602843538,-0.002349200602843538,10141.279999999999,-23.88000000000102,0.0,,0.0,1,1,
20,2018-01-22 08:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,20,1036.89,-0.03275495767593384,1.0,-0.0038610000000000584,-0.003807211712919926,-0.003807211712919926,10102.669999999998,-38.61000000000058,0.0,,0.0,2,2,
21,2018-01-22 12:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,21,951.0,-0.05050063133239746,-1.0,0.008319000000000232,0.008234456831709078,0.008234456831709078,10185.86,83.19000000000233,0.0,,0.0,3,3,
22,2018-01-22 16:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,22,975.28,-0.11494362354278564,-1.0,-0.0024280000000000655,-0.0023836966147188997,-0.0023836966147188997,10161.58,-24.280000000000655,0.0,,0.0,3,3,
23,2018-01-22 20:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,23,993.0,-0.14869171380996704,-1.0,-0.0017719999999999344,-0.0017438233030689465,-0.0017438233030689465,10143.86,-17.719999999999345,0.0,,0.0,3,3,
24,2018-01-23 00:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,24,998.44,-0.19079464673995972,-1.0,-0.000544000000000051,-0.0005362850039334641,-0.0005362850039334641,10138.42,-5.440000000000509,0.0,,0.0,3,3,
25,2018-01-23 04:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,25,946.66,-0.2609081268310547,-1.0,0.005178000000000065,0.005107304688501823,0.005107304688501823,10190.2,51.780000000000655,0.0,,0.0,3,3,
26,2018-01-23 08:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,26,932.5,-0.26766377687454224,-1.0,0.0014159999999999854,0.0013895703715334196,0.0013895703715334196,10204.36,14.159999999999854,0.0,,0.0,3,3,
27,2018-01-23 12:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,27,987.5,-0.23229652643203735,-1.0,-0.0055,-0.0053898529648111195,-0.0053898529648111195,10149.36,-55.0,0.0,,0.0,3,3,
28,2018-01-23 16:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,28,980.44,-0.2373436689376831,-1.0,0.0007059999999999491,0.0006956103636090837,0.0006956103636090837,10156.42,7.059999999999491,0.0,,0.0,3,3,
29,2018-01-23 20:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,29,980.0,-0.20767396688461304,-1.0,4.400000000005093e-05,4.332235177360815e-05,4.332235177360815e-05,10156.86,0.4400000000005093,0.0,,0.0,3,3,
30,2018-01-24 00:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,30,984.42,-0.1396547555923462,-1.0,-0.0004420000000000073,-0.00043517386278830983,-0.00043517386278830983,10152.44,-4.420000000000073,0.0,,0.0,3,3,
31,2018-01-24 04:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,31,1000.01,-0.09359312057495117,-1.0,-0.0015590000000000146,-0.0015355914440272629,-0.0015355914440272629,10136.85,-15.590000000000146,0.0,,0.0,3,3,
32,2018-01-24 08:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,32,1015.0,-0.09621918201446533,-1.0,-0.0014989999999999782,-0.001478763126612289,-0.001478763126612289,10121.86,-14.989999999999782,0.0,,0.0,3,3,
33,2018-01-24 12:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,33,1016.01,-0.071194589138031,-1.0,-0.00010100000000002182,-9.978403178864538e-05,-9.978403178864538e-05,10120.85,-1.0100000000002183,0.0,,0.0,3,3,
34,2018-01-24 16:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,34,1035.95,-0.03415024280548096,-1.0,-0.001994000000000051,-0.0019701902508189044,-0.0019701902508189044,10100.91,-19.94000000000051,0.0,,0.0,3,3,
35,2018-01-24 20:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,35,1061.0,-0.014235436916351318,-1.0,-0.0025049999999999274,-0.0024799745765479815,-0.0024799745765479815,10075.86,-25.049999999999272,0.0,,0.0,3,3,
36,2018-01-25 00:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,36,1108.51,-0.0712820291519165,-1.0,-0.004751000000000022,-0.0047152302632232105,-0.0047152302632232105,10028.35,-47.51000000000022,0.0,,0.0,3,3,
37,2018-01-25 04:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,37,1079.6,-0.15687012672424316,-1.0,0.0028909999999999856,0.0028828271849307067,0.0028828271849307067,10057.26,28.909999999999854,0.0,,0.0,3,3,
38,2018-01-25 08:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,38,1058.0,-0.22022342681884766,-1.0,0.0021600000000000365,0.0021477022568771576,0.0021477022568771576,10078.86,21.600000000000364,0.0,,0.0,3,3,
39,2018-01-25 12:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,39,1037.71,-0.20927351713180542,-1.0,0.002029000000000087,0.0020131245001915763,0.0020131245001915763,10099.150000000001,20.290000000000873,0.0,,0.0,3,3,
40,2018-01-25 16:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,40,1065.0,-0.11237072944641113,-1.0,-0.0027290000000000873,-0.0027022076115317496,-0.0027022076115317496,10071.86,-27.290000000000873,0.0,,0.0,3,3,
41,2018-01-25 20:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,41,1056.52,-0.15205681324005127,-1.0,0.0008479999999999563,0.0008419497491029028,0.0008419497491029028,10080.34,8.479999999999563,0.0,,0.0,3,3,
,2018-01-26 00:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,42,1072.8,,0.0,0.0,,,10064.060000000001,,,,,4,4,before=3;delta=1;after=4;open=1
