seed,arm,phase,epoch,cumulative_timesteps_configured,configured_learning_rate,entropy_mode_configured,entropy_coefficient_recorded,actor_l1_before,actor_l1_after,actor_delta,critic_delta,train_tail_trades,val_trades,val_total_return_fraction,val_max_drawdown_fraction,trade_gate_passed,checkpoint_eligible,eligibility_reason,selection_transport_scalar_do_not_display_as_performance,replay_size_before,replay_size_after,observed_learning_rate,entropy_target,entropy_loss,actor_loss,critic_loss,gradient_update_count,raw_action_mean,raw_action_std,raw_action_min,raw_action_max,hold_rate,dominant_action_rate,thresholded_entries,protected_submissions,protected_rejections,order_families,commission_paid,spread_cost,slippage_cost,financing_cost,margin_train,margin_train_tail,margin_validation
101,EN4_10,normal_training,5,120000,0.0001,fixed_0.2,invalid,8852.024863856845,8851.361413177103,-0.6634506797417998,2373.0341936796904,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
101,EN4_10,normal_training,6,140000,0.0001,fixed_0.2,invalid,8851.361413177103,8850.923642537557,-0.43777063954621553,2022.0254555344582,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
101,EN4_10,normal_training,7,160000,0.0001,fixed_0.2,invalid,8850.923642537557,8850.612430498004,-0.311212039552629,1872.7763500511646,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
101,EN4_10,normal_training,8,180000,0.0001,fixed_0.2,invalid,8850.612430498004,8850.377679198049,-0.2347512999549508,1691.5616689920425,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
101,EN4_10,normal_training,9,200000,0.0001,fixed_0.2,invalid,8850.377679198049,8850.410324164666,0.0326449666172266,1728.9947740733624,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
101,EN4_10,normal_training,10,220000,0.0001,fixed_0.2,invalid,8850.410324164666,8850.413958301768,0.003634137101471424,1813.0484721958637,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
202,N14,warm_start_baseline,0,not_applicable,0.0001,fixed_0.2,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,4,130,not_instrumented,not_instrumented,True,None,baseline gate,1049286634889019.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
202,N14,normal_training,1,40000,0.0001,fixed_0.2,invalid,8763.550813809037,8822.448433443904,58.897619634866714,6606.6165988221765,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
202,N14,normal_training,2,60000,0.0001,fixed_0.2,invalid,8822.448433443904,8821.369144752622,-1.0792886912822723,5382.26032128185,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
202,N14,normal_training,3,80000,0.0001,fixed_0.2,invalid,8821.369144752622,8820.984278123826,-0.3848666287958622,4005.7173823714256,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
