[121/256] 2025-12-09T08:00:00 -        0.6155 -> flat (abstained)
[122/256] 2025-12-09T12:00:00 -        0.6136 -> flat (abstained)
[123/256] 2025-12-09T16:00:00 -        0.6383 -> flat (abstained)
[124/256] 2025-12-09T20:00:00 -        0.6365 -> flat (abstained)
[125/256] 2025-12-10T00:00:00 -        0.6125 -> flat (abstained)
[126/256] 2025-12-10T04:00:00 -        0.6151 -> flat (abstained)
[127/256] 2025-12-10T08:00:00 -        0.6422 -> flat (abstained)
[128/256] 2025-12-10T12:00:00 -        0.6208 -> flat (abstained)
[129/256] 2025-12-10T16:00:00 -        0.6182 -> flat (abstained)
[130/256] 2025-12-10T20:00:00 -        0.6392 -> flat (abstained)
[131/256] 2025-12-11T00:00:00 -        0.6490 -> flat (abstained)
[132/256] 2025-12-11T04:00:00 -        0.6410 -> flat (abstained)
[133/256] 2025-12-11T08:00:00 -        0.6362 -> flat (abstained)
[134/256] 2025-12-11T12:00:00 -        0.6104 -> flat (abstained)
[135/256] 2025-12-11T16:00:00 -        0.6412 -> flat (abstained)
[136/256] 2025-12-11T20:00:00 -        0.6307 -> flat (abstained)
[137/256] 2025-12-12T00:00:00 -        0.6219 -> flat (abstained)
[138/256] 2025-12-12T04:00:00 -        0.6229 -> flat (abstained)
[139/256] 2025-12-12T08:00:00 -        0.6096 -> flat (abstained)
[140/256] 2025-12-12T12:00:00 -        0.6464 -> flat (abstained)
[141/256] 2025-12-12T16:00:00 -        0.6335 -> flat (abstained)
[142/256] 2025-12-12T20:00:00 -        0.5935 -> flat (abstained)
[143/256] 2025-12-13T00:00:00 -        0.6400 -> flat (abstained)
[144/256] 2025-12-13T04:00:00 -        0.6349 -> flat (abstained)
[145/256] 2025-12-13T08:00:00 -        0.6124 -> flat (abstained)
[146/256] 2025-12-13T12:00:00 -        0.6517 -> flat (abstained)
[147/256] 2025-12-13T16:00:00 -        0.6601 -> flat (abstained)
[148/256] 2025-12-13T20:00:00 -        0.5986 -> flat (abstained)
[149/256] 2025-12-14T00:00:00 -        0.6231 -> flat (abstained)
[150/256] 2025-12-14T04:00:00 -        0.6457 -> flat (abstained)
[151/256] 2025-12-14T08:00:00 -        0.6553 -> flat (abstained)
[152/256] 2025-12-14T12:00:00 -        0.6410 -> flat (abstained)
[153/256] 2025-12-14T16:00:00 -        0.6457 -> flat (abstained)
[154/256] 2025-12-14T20:00:00 -        0.6388 -> flat (abstained)
[155/256] 2025-12-15T00:00:00 -        0.6380 -> flat (abstained)
[156/256] 2025-12-15T04:00:00 -        0.6519 -> flat (abstained)
[157/256] 2025-12-15T08:00:00 -        0.6060 -> flat (abstained)
[158/256] 2025-12-15T12:00:00 -        0.6326 -> flat (abstained)
[159/256] 2025-12-15T16:00:00 -        0.6518 -> flat (abstained)
[160/256] 2025-12-15T20:00:00 -        0.6518 -> flat (abstained)
[161/256] 2025-12-16T00:00:00 -        0.6231 -> flat (abstained)
[162/256] 2025-12-16T04:00:00 -        0.6584 -> flat (abstained)
[163/256] 2025-12-16T08:00:00 -        0.6304 -> flat (abstained)
[164/256] 2025-12-16T12:00:00 -        0.6242 -> flat (abstained)
[165/256] 2025-12-16T16:00:00 -        0.6445 -> flat (abstained)
[166/256] 2025-12-16T20:00:00 -        0.6213 -> flat (abstained)
[167/256] 2025-12-17T00:00:00 -        0.6314 -> flat (abstained)
[168/256] 2025-12-17T04:00:00 -        0.6302 -> flat (abstained)
[169/256] 2025-12-17T08:00:00 -        0.6281 -> flat (abstained)
[170/256] 2025-12-17T12:00:00 -        0.6285 -> flat (abstained)
[171/256] 2025-12-17T16:00:00 -        0.6425 -> flat (abstained)
[172/256] 2025-12-17T20:00:00 -        0.6052 -> flat (abstained)
[173/256] 2025-12-18T00:00:00 -        0.6529 -> flat (abstained)
[174/256] 2025-12-18T04:00:00 -        0.6361 -> flat (abstained)
[175/256] 2025-12-18T08:00:00 -        0.6205 -> flat (abstained)
[176/256] 2025-12-18T12:00:00 -        0.6349 -> flat (abstained)
[177/256] 2025-12-18T16:00:00 -        0.6748 -> flat (abstained)
